relative_path,label,class_name
Forest/Forest_1116.jpg,1,Forest
PermanentCrop/PermanentCrop_1955.jpg,6,PermanentCrop
AnnualCrop/AnnualCrop_631.jpg,0,AnnualCrop
Forest/Forest_677.jpg,1,Forest
Forest/Forest_2119.jpg,1,Forest
Residential/Residential_685.jpg,7,Residential
Pasture/Pasture_423.jpg,5,Pasture
AnnualCrop/AnnualCrop_1049.jpg,0,AnnualCrop
Highway/Highway_1954.jpg,3,Highway
HerbaceousVegetation/HerbaceousVegetation_202.jpg,2,HerbaceousVegetation
Industrial/Industrial_169.jpg,4,Industrial
SeaLake/SeaLake_2406.jpg,9,SeaLake
Residential/Residential_1921.jpg,7,Residential
Industrial/Industrial_961.jpg,4,Industrial
Forest/Forest_2799.jpg,1,Forest
River/River_2474.jpg,8,River
Highway/Highway_419.jpg,3,Highway
Forest/Forest_1174.jpg,1,Forest
Residential/Residential_2385.jpg,7,Residential
Industrial/Industrial_1620.jpg,4,Industrial
Pasture/Pasture_28.jpg,5,Pasture
Highway/Highway_1971.jpg,3,Highway
HerbaceousVegetation/HerbaceousVegetation_693.jpg,2,HerbaceousVegetation
Industrial/Industrial_2054.jpg,4,Industrial
SeaLake/SeaLake_1364.jpg,9,SeaLake
Industrial/Industrial_2457.jpg,4,Industrial
Forest/Forest_528.jpg,1,Forest
Industrial/Industrial_1796.jpg,4,Industrial
SeaLake/SeaLake_334.jpg,9,SeaLake
Pasture/Pasture_1330.jpg,5,Pasture
Residential/Residential_1663.jpg,7,Residential
Industrial/Industrial_1782.jpg,4,Industrial
Residential/Residential_1493.jpg,7,Residential
Residential/Residential_1759.jpg,7,Residential
Forest/Forest_2804.jpg,1,Forest
SeaLake/SeaLake_567.jpg,9,SeaLake
Highway/Highway_1317.jpg,3,Highway
Industrial/Industrial_216.jpg,4,Industrial
Residential/Residential_2924.jpg,7,Residential
Industrial/Industrial_1464.jpg,4,Industrial
Pasture/Pasture_1182.jpg,5,Pasture
Residential/Residential_743.jpg,7,Residential
Forest/Forest_183.jpg,1,Forest
Forest/Forest_1736.jpg,1,Forest
River/River_1644.jpg,8,River
HerbaceousVegetation/HerbaceousVegetation_895.jpg,2,HerbaceousVegetation
Industrial/Industrial_1766.jpg,4,Industrial
Forest/Forest_2917.jpg,1,Forest
Highway/Highway_1040.jpg,3,Highway
Pasture/Pasture_154.jpg,5,Pasture
Forest/Forest_1338.jpg,1,Forest
HerbaceousVegetation/HerbaceousVegetation_2918.jpg,2,HerbaceousVegetation
Forest/Forest_1064.jpg,1,Forest
Industrial/Industrial_1033.jpg,4,Industrial
Highway/Highway_1819.jpg,3,Highway
Residential/Residential_2895.jpg,7,Residential
